"raw_category","business_area"
eletrodomesticos,Appliances & Kitchen
eletrodomesticos_2,Appliances & Kitchen
eletroportateis,Appliances & Kitchen
la_cuisine,Appliances & Kitchen
portateis_casa_forno_e_cafe,Appliances & Kitchen
portateis_cozinha_e_preparadores_de_alimentos,Appliances & Kitchen
agro_industria_e_comercio,B2B & Industry
construcao_ferramentas_seguranca,B2B & Industry
industria_comercio_e_negocios,B2B & Industry
seguros_e_servicos,B2B & Industry
sinalizacao_e_seguranca,B2B & Industry
cds_dvds_musicais,Books & Media
dvds_blu_ray,Books & Media
livros_importados,Books & Media
livros_interesse_geral,Books & Media
livros_tecnicos,Books & Media
musica,Books & Media
automotivo,DIY & Gardening
casa_construcao,DIY & Gardening
climatizacao,DIY & Gardening
construcao_ferramentas_construcao,DIY & Gardening
construcao_ferramentas_ferramentas,DIY & Gardening
construcao_ferramentas_iluminacao,DIY & Gardening
construcao_ferramentas_jardim,DIY & Gardening
ferramentas_jardim,DIY & Gardening
audio,Electronics & Tech
cine_foto,Electronics & Tech
consoles_games,Electronics & Tech
eletronicos,Electronics & Tech
informatica_acessorios,Electronics & Tech
pc_gamer,Electronics & Tech
pcs,Electronics & Tech
tablets_impressao_imagem,Electronics & Tech
telefonia,Electronics & Tech
telefonia_fixa,Electronics & Tech
fashion_bolsas_e_acessorios,Fashion & Accessories
fashion_calcados,Fashion & Accessories
fashion_esporte,Fashion & Accessories
fashion_roupa_feminina,Fashion & Accessories
fashion_roupa_masculina,Fashion & Accessories
fashion_underwear_e_moda_praia,Fashion & Accessories
malas_acessorios,Fashion & Accessories
relogios_presentes,Fashion & Accessories
alimentos,Grocery & Consumables
alimentos_bebidas,Grocery & Consumables
bebidas,Grocery & Consumables
papelaria,Grocery & Consumables
beleza_saude,Health & Beauty
perfumaria,Health & Beauty
cama_mesa_banho,Home & Living
casa_conforto,Home & Living
casa_conforto_2,Home & Living
flores,Home & Living
moveis_colchao_e_estofado,Home & Living
moveis_cozinha_area_de_servico_jantar_e_jardim,Home & Living
moveis_decoracao,Home & Living
moveis_escritorio,Home & Living
moveis_quarto,Home & Living
moveis_sala,Home & Living
utilidades_domesticas,Home & Living
bebes,Kids & Family
brinquedos,Kids & Family
fashion_roupa_infanto_juvenil,Kids & Family
fraldas_higiene,Kids & Family
pet_shop,Kids & Family
artigos_de_festas,Other & Miscellaneous
artigos_de_natal,Other & Miscellaneous
cool_stuff,Other & Miscellaneous
market_place,Other & Miscellaneous
artes,Sports & Leisure
artes_e_artesanato,Sports & Leisure
esporte_lazer,Sports & Leisure
instrumentos_musicais,Sports & Leisure
