original_city,fixed_city
ALTA FLORESTA DO OESTE,ALTA FLORESTA D OESTE
ALTA ALEGRE DOS PARECIS,ALTO ALEGRE DOS PARECIS
ALVORADA DO OESTE,ALVORADA D OESTE
ANTUNES IGARATINGA,ANTUNES
APARECIDADOESTE,APARECIDA D OESTE
ARMACAO DE BUZIOS,ARMACAO DOS BUZIOS
ARRAIAL DAJUDA,ARRAIAL D AJUDA
...ARRAIAL DO CABO,ARRAIAL DO CABO
BACAXA SAQUAREMA  DISTRITO,BACAXA
PICARRAS,BALNEARIO PICARRAS
BARRA DE  SANTO ANTONIO,BARRA DE SANTO ANTONIO
BARRADO QUARAI,BARRA DO QUARAI
BATAYPORA,BATAIPORA
BELEM DO SAO FRANCISCO,BELEM DE SAO FRANCISCO
BELO HORIZONTA,BELO HORIZONTE
BH,BELO HORIZONTE
BIRITIBA-MIRIM,BIRITIBA MIRIM
BIRITIBAMIRIM,BIRITIBA MIRIM
BOM JESUS,BOM JESUS DE GOIAS
BRAZOPOLIS,BRASOPOLIS
SANTO AGOSTINHO,CABO DE SANTO AGOSTINHO
CACHOEIRA DE PIRIA,CACHOEIRA DO PIRIA
CALIFORNIA DA BARRA BARRA DO PIRAI,CALIFORNIA DA BARRA
CAMPO ALEGRE DE LOURDES BAHIA BRASIL,CAMPO ALEGRE DE LOURDES
CAMPOS DOS GOYTACAZE,CAMPOS DOS GOYTACAZES
SANTA LUZIA DE CARATINGA,CARATINGA
CARAIBA,CARNAIBA
CEARA MIRIM,CEARA MIRIM
CEARAMIRIM,CEARA MIRIM
CEILANDIA NORTE,CEILANDIA
 CIDADE,CIDADE
DIAMANTE D  OESTE,DIAMANTE D OESTE
DIAS DAVILA,DIAS D AVILA
EMBU,EMBU DAS ARTES
EMBU GUACU,EMBU GUACU
EMBUGUACU,EMBU GUACU
ESTRELADOESTE,ESTRELA D OESTE
FLORIANOACUTEPOLIS,FLORIANOPOLIS
FLORIPA,FLORIANOPOLIS
FLORINIA,FLORINEA
FRANCA SP,FRANCA
FRANCA-SP,FRANCA
GOUVEA,GOUVEIA
GUAJARA MIRIM,GUAJARA MIRIM
GUAJARAMIRIM,GUAJARA MIRIM
GUARULHOS SP,GUARULHOS
GUARULHOS-SP,GUARULHOS
GUARULHOSSP,GUARULHOS
ITAMARACA,ILHA DE ITAMARACA
ITABATAN,ITABATA
ITABATAN MUCURI,ITABATA
ITABIRINHA DE MANTENA,ITABIRINHA
ITACURUSSA,ITACURUCA
ITAPAGE,ITAPAJE
ITAPECURU MIRIM,ITAPECURU MIRIM
ITAPECURUMIRIM,ITAPECURU MIRIM
ITAPEJARA D  OESTE,ITAPEJARA D OESTE
JABOATAO DOS GURARAPES,JABOATAO DOS GUARARAPES
JACARE CABREUVA,JACARE
JEQUIRICA,JIQUIRICA
LAMBARI D26APOS3BOESTE,LAMBARI D OESTE
LAVRAS MG,LAVRAS
LIMEIRA D OESTE,LIMEIRA DO OESTE
LIMEIRA DO OESTE MG,LIMEIRA DO OESTE
LIMEIRADOESTE,LIMEIRA DO OESTE
LINHARESL,LINHARES
MACEIA,MACEIO
MACEIA3,MACEIO
MACEIAAO,MACEIO
MACEIA³,MACEIO
MGI DAS CRUZES,MOGI DAS CRUZES
MOGIDASCRUZES,MOGI DAS CRUZES
MOGI-GUACU,MOGI GUACU
MOGIGUACU,MOGI GUACU
MGI MIRIM,MOGI MIRIM
MGI-MIRIM,MOGI MIRIM
MOGI-MIRIM,MOGI MIRIM
MOGIMIRIM,MOGI MIRIM
MUJUI DOS CAMPOS,MOJUI DOS CAMPOS
MONTE GORDO CAMACARI  DISTRITO,MONTE GORDO
MUQUEM DO SAO FRANCISCO,MUQUEM DE SAO FRANCISCO
